class,level,time,latitude,longitude
M,3.6,28 September 2015 at 03:55,153.459,-9.495
M,1.1,28 September 2015 at 07:35,101.68,-19.895
M,1.1,28 September 2015 at 13:18,101.79,-19.945
M,7.6,28 September 2015 at 14:58,101.796,-19.957
M,1.2,29 September 2015 at 03:16,152.856,-9.417
M,1.1,29 September 2015 at 03:43,101.753,-19.895
M,2.9,29 September 2015 at 05:16,101.809,-19.898
M,1.2,29 September 2015 at 05:37,152.313,-9.399
M,1.4,29 September 2015 at 06:43,101.782,-19.913
M,1.3,29 September 2015 at 08:51,151.397,-9.407
M,1.6,29 September 2015 at 11:15,101.803,-19.898
M,1.1,29 September 2015 at 19:24,101.515,-19.915
M,1.3,30 September 2015 at 10:59,101.022,-19.95
M,1.1,30 September 2015 at 13:20,100.918,-19.964
M,4.5,01 October 2015 at 13:10,100.103,-20.138
M,5.5,02 October 2015 at 00:13,99.567,-20.22
M,1.1,15 October 2015 at 23:31,160.177,-10.23
M,1.1,16 October 2015 at 06:16,160.007,-10.277
M,1.1,17 October 2015 at 20:23,120.601,-15.363
M,1.5,17 October 2015 at 20:42,120.579,-15.35
M,1.9,04 November 2015 at 03:26,24.935,16.361
M,2.5,04 November 2015 at 12:03,24.664,16.426
M,3.7,04 November 2015 at 13:52,313.675,6.557
M,3.9,09 November 2015 at 13:12,205.327,-14.04
M,1.1,21 December 2015 at 10:19,328.706,3.66
M,1.6,22 December 2015 at 03:34,329.412,-21.671
M,4.7,23 December 2015 at 00:40,329.523,-21.947
M,1.1,24 December 2015 at 02:12,329.927,-21.841
M,1.8,28 December 2015 at 12:45,330.804,-21.061
M,2.3,02 January 2016 at 00:11,330.376,-22.028
M,1.8,13 February 2016 at 15:24,89.364,12.351
M,1.1,15 February 2016 at 11:00,89.519,12.458
M,6.7,18 April 2016 at 00:29,343.474,10.712
M,1.2,21 July 2016 at 00:46,168.731,4.755
M,5.0,23 July 2016 at 02:11,169.181,4.95
M,7.6,23 July 2016 at 05:16,169.276,4.975
M,5.5,23 July 2016 at 05:31,169.317,4.958
M,2.0,24 July 2016 at 06:20,166.717,5.483
M,1.9,24 July 2016 at 17:43,162.986,5.808
M,1.2,29 November 2016 at 23:38,134.305,-6.734
M,4.4,01 April 2017 at 21:48,56.273,12.82
M,5.3,02 April 2017 at 08:02,57.85,12.95
M,2.3,02 April 2017 at 13:00,58.519,13.054
M,2.1,02 April 2017 at 18:38,58.984,13.159
M,5.7,02 April 2017 at 20:33,59.013,13.139
M,1.2,03 April 2017 at 01:05,59.153,13.18
M,5.8,03 April 2017 at 14:29,59.08,13.219
M,1.3,09 July 2017 at 03:18,110.973,-5.935
M,2.4,14 July 2017 at 02:09,112.749,-5.945
M,1.1,20 August 2017 at 01:52,226.842,4.773
M,1.2,04 September 2017 at 05:49,117.618,-8.999
M,1.5,04 September 2017 at 15:30,117.739,-8.968
M,1.7,04 September 2017 at 19:37,117.761,-8.988
M,1.5,04 September 2017 at 20:02,117.77,-9.0
M,5.5,04 September 2017 at 20:33,117.783,-9.004
M,2.1,04 September 2017 at 22:14,117.791,-9.034
M,4.2,05 September 2017 at 01:08,117.848,-9.053
M,3.2,05 September 2017 at 04:53,117.882,-9.072
M,2.3,05 September 2017 at 17:43,118.048,-9.168
M,2.5,06 September 2017 at 15:56,118.164,-9.479
M,1.4,06 September 2017 at 19:30,118.143,-9.453
M,2.4,07 September 2017 at 05:02,118.229,-9.377
M,1.4,07 September 2017 at 09:54,118.328,-9.371
M,7.3,07 September 2017 at 10:15,118.325,-9.376
M,3.9,07 September 2017 at 23:59,118.355,-9.249
M,1.3,08 September 2017 at 02:24,118.398,-9.209
M,1.2,08 September 2017 at 03:43,118.433,-9.194
M,2.9,08 September 2017 at 15:47,118.72,-9.137
M,2.1,08 September 2017 at 23:45,118.64,-9.22
M,1.1,09 September 2017 at 04:28,118.744,-9.161
M,3.7,09 September 2017 at 11:04,119.0,-9.078
M,1.1,09 September 2017 at 23:53,118.014,-8.528
M,1.1,20 October 2017 at 23:28,129.681,-9.233
