class,level,time,latitude,longitude
M,2.8,14 March 2012 at 15:21,221.683,14.5
M,1.3,17 March 2012 at 20:39,207.299,-22.192
M,1.7,16 April 2012 at 17:45,68.617,11.29
M,1.1,06 May 2012 at 01:18,184.675,10.627
M,1.3,06 May 2012 at 17:47,183.813,10.816
M,1.9,07 May 2012 at 14:31,277.846,-20.929
M,1.4,08 May 2012 at 13:08,183.935,10.735
M,4.7,09 May 2012 at 12:32,184.079,10.552
M,1.8,09 May 2012 at 14:08,184.119,10.544
M,4.1,09 May 2012 at 21:05,184.184,10.499
M,5.7,10 May 2012 at 04:18,184.276,10.46
M,1.7,10 May 2012 at 20:26,184.386,10.472
M,5.1,17 May 2012 at 01:47,185.642,10.743
M,3.3,03 June 2012 at 17:55,199.651,13.58
M,2.1,06 June 2012 at 20:06,197.593,-17.753
M,1.9,09 June 2012 at 11:32,86.102,-15.514
M,1.8,09 June 2012 at 16:53,86.4,-14.739
M,1.3,10 June 2012 at 06:45,86.513,-14.989
M,1.9,14 June 2012 at 14:35,86.999,-15.063
M,2.4,28 June 2012 at 16:12,215.873,15.56
M,2.2,29 June 2012 at 09:20,213.549,15.717
M,1.6,30 June 2012 at 18:32,211.643,16.054
M,2.8,01 July 2012 at 19:18,208.13,16.855
M,1.1,02 July 2012 at 00:35,207.833,16.956
M,5.6,02 July 2012 at 10:52,207.175,-16.496
M,3.8,02 July 2012 at 20:07,207.157,-16.488
M,2.0,02 July 2012 at 23:56,207.12,-16.432
M,2.3,04 July 2012 at 04:37,207.218,-16.51
M,5.3,04 July 2012 at 09:55,207.186,-16.583
M,2.3,04 July 2012 at 12:24,207.098,-16.627
M,1.3,04 July 2012 at 14:40,207.077,-16.653
M,1.8,04 July 2012 at 16:39,209.034,16.971
M,4.6,04 July 2012 at 22:09,206.936,-16.715
M,1.2,04 July 2012 at 23:55,206.916,-16.707
M,2.4,05 July 2012 at 01:10,206.95,-16.691
M,2.2,05 July 2012 at 02:42,206.969,-16.673
M,4.7,05 July 2012 at 03:36,206.959,-16.678
M,1.1,05 July 2012 at 06:58,207.034,-16.643
M,1.3,05 July 2012 at 07:45,108.824,-16.361
M,1.8,05 July 2012 at 10:48,206.946,-16.657
M,6.1,05 July 2012 at 11:44,206.969,-16.643
M,1.2,05 July 2012 at 13:18,207.018,-16.647
M,1.6,05 July 2012 at 20:14,207.082,-16.554
M,1.6,05 July 2012 at 21:45,207.073,-16.522
