class,level,time,latitude,longitude
C,9.9,16 February 2011 at 09:12,34.5501,-20.1297
C,3.2,16 February 2011 at 10:36,34.5874,-20.1194
C,1.0,16 February 2011 at 12:00,34.6294,-20.0960
C,7.7,16 February 2011 at 15:36,34.6548,-20.0734
C,1.3,16 February 2011 at 19:36,34.7195,-20.0670
C,1.1,16 February 2011 at 20:12,34.7118,-20.0671
C,4.2,16 February 2011 at 21:12,34.6837,-20.0845
C,2.8,17 February 2011 at 00:24,34.6061,-20.1302
C,6.1,17 February 2011 at 01:48,34.5656,-20.1560
C,2.3,17 February 2011 at 03:12,34.5291,-20.1650
C,1.5,17 February 2011 at 04:12,34.5128,-20.1618
C,1.0,17 February 2011 at 05:36,34.5464,-20.1341
C,1.2,17 February 2011 at 06:48,34.5834,-20.1285
C,1.2,17 February 2011 at 08:12,34.6212,-20.1122
C,1.9,17 February 2011 at 09:36,34.6093,-20.0942
C,2.6,17 February 2011 at 10:24,34.5772,-20.0917
C,2.4,17 February 2011 at 12:36,34.5875,-20.0530
C,1.3,17 February 2011 at 16:00,34.6193,-19.9833
C,1.1,17 February 2011 at 21:36,34.5163,-19.9622
C,1.7,18 February 2011 at 01:12,34.3109,-20.0126
C,8.5,18 February 2011 at 06:36,34.5299,-19.9110
C,4.0,18 February 2011 at 14:36,34.6454,-19.8069
C,5.0,18 February 2011 at 15:00,34.6400,-19.8097
C,3.2,18 February 2011 at 18:24,34.6318,-19.7692
C,1.3,19 February 2011 at 01:36,34.5794,-19.6511
C,1.8,19 February 2011 at 02:24,34.6064,-19.6128
C,1.9,19 February 2011 at 07:48,34.7925,-19.4799
C,1.5,19 February 2011 at 15:24,34.8150,-19.3464
C,1.9,19 February 2011 at 16:36,34.7514,-19.3552
C,6.1,19 February 2011 at 16:48,34.7308,-19.3630
C,1.9,19 February 2011 at 21:12,34.5822,-19.4400
C,4.6,21 February 2011 at 02:24,29.4619,-20.4808
C,1.8,21 February 2011 at 03:12,29.0929,-20.4675
C,1.5,21 February 2011 at 04:12,28.3303,-20.4865
C,4.1,21 February 2011 at 05:12,28.0851,-20.5547
C,1.4,13 February 2011 at 07:24,-32.4072,11.1866
C,2.0,18 February 2011 at 03:36,331.862,13.2403
C,4.0,18 February 2011 at 04:48,332.026,13.3850
C,3.4,19 February 2011 at 03:00,333.021,13.9625
C,1.2,20 February 2011 at 01:24,332.805,13.1651
C,1.7,20 February 2011 at 04:00,332.751,13.0903
C,1.4,21 February 2011 at 18:36,333.374,13.3615
C,1.2,23 February 2011 at 12:24,334.230,12.9262
C,7.6,18 February 2011 at 07:24,332.273,13.5141
C,4.2,18 February 2011 at 09:12,332.432,13.6194
C,3.0,18 February 2011 at 12:24,332.683,13.7779
C,5.5,18 February 2011 at 16:00,332.901,13.9685
C,2.3,18 February 2011 at 16:36,332.926,13.9759
C,2.1,18 February 2011 at 16:48,332.922,13.9908
C,3.8,18 February 2011 at 17:48,332.984,14.0183
C,7.1,18 February 2011 at 19:24,332.988,13.9953
C,2.6,19 February 2011 at 07:00,333.031,13.8856
C,8.5,19 February 2011 at 08:00,333.019,13.8256
C,1.1,19 February 2011 at 12:24,332.898,13.6434
C,1.0,19 February 2011 at 14:48,332.905,13.5406
C,1.4,20 February 2011 at 03:24,332.760,13.1028
C,1.8,24 February 2011 at 13:48,177.921,15.9308
C,2.7,24 February 2011 at 19:36,178.163,15.9420
C,1.4,25 February 2011 at 05:24,177.864,16.3787
C,1.6,25 February 2011 at 05:48,177.882,16.3745
C,1.0,04 March 2011 at 17:24,175.333,17.8939
